測站名稱,縣市,緯度,經度,AQI,空氣品質等級,距離台北車站(公里),PM2.5,PM10,O3,NO2,SO2,CO,狀態
基隆,基隆市,25.129167,121.760056,91,普通,26.1,27,92,28,12,0.3,0.28,普通
汐止,新北市,25.06624,121.64081,75,普通,12.64,17,31,35,8,1.1,0.21,普通
新店,新北市,24.977222,121.537778,68,普通,8.12,18,48,31,19,1.5,0.31,普通
土城,新北市,24.982528,121.451861,82,普通,9.79,20,52,31,16,1.6,0.28,普通
板橋,新北市,25.012972,121.458667,92,普通,7.04,20,41,32,10,1,0.33,普通
新莊,新北市,25.037972,121.4325,92,普通,8.58,14,47,31,11,0.5,0.21,普通
菜寮,新北市,25.06895,121.481028,87,普通,4.32,15,46,31,13,0.4,0.23,普通
林口,新北市,25.07798949,121.36548982,79,普通,15.63,19,N/A,N/A,15,1.2,0.19,普通
淡水,新北市,25.1645,121.449239,107,不健康,14.66,34,103,11,24,N/A,0.23,對敏感族群不健康
士林,臺北市,25.10334003,121.51666356,74,普通,6.18,14,44,35,9,0.5,0.2,普通
中山,臺北市,25.062361,121.526528,82,普通,1.88,17,36,26,16,0.8,0.39,普通
萬華,臺北市,25.046503,121.507972,76,普通,0.92,16,37,24,19,1.5,0.38,普通
古亭,臺北市,25.020608,121.529556,75,普通,3.28,13,39,32,13,1.5,0.26,普通
松山,臺北市,25.05,121.578611,76,普通,6.21,20,37,32,11,2.1,0.28,普通
大同,臺北市,25.06331455,121.51342074,75,普通,1.76,14,27,20,27,0.9,0.69,普通
桃園,桃園市,24.9947107,121.30500531,103,不健康,22.16,17,43,31,11,0.6,0.24,對敏感族群不健康
大園,桃園市,25.06100357,121.20251473,108,不健康,31.71,25,60,26,19,2.2,0.26,對敏感族群不健康
觀音,桃園市,25.03556747,121.08283092,103,不健康,43.76,27,66,33,13,4,0.23,對敏感族群不健康
平鎮,桃園市,24.952786,121.203986,106,不健康,33.27,21,46,41,13,0.3,0.44,對敏感族群不健康
龍潭,桃園市,24.86400048,121.21645772,77,普通,36.55,19,40,24,N/A,N/A,N/A,普通
湖口,新竹縣,24.90009696,121.03886894,104,不健康,50.92,11,37,37,4,0.7,0.19,對敏感族群不健康
竹東,新竹縣,24.74091408,121.08895493,75,普通,55.03,15,43,36,8,1.1,0.19,普通
新竹,新竹市,24.8056356,120.97236752,94,普通,61.17,18,43,36,8,0.3,0.24,普通
頭份,苗栗縣,24.69690679,120.89869286,108,不健康,73.57,18,65,31,12,1,0.28,對敏感族群不健康
苗栗,苗栗縣,24.56499183,120.82011468,94,普通,88.49,26,62,31,10,1.4,0.22,普通
三義,苗栗縣,24.38248443,120.75956754,58,普通,106.43,16,45,35,6,1.2,0.19,普通
豐原,臺中市,24.25699731,120.74252414,71,普通,117.72,21,56,31,12,1.7,0.22,普通
沙鹿,臺中市,24.225628,120.568794,92,普通,132.45,23,78,31,7,N/A,0.2,普通
大里,臺中市,24.09961111,120.67844444,76,普通,135.3,21,58,32,9,0.7,0.26,普通
忠明,臺中市,24.151958,120.641092,73,普通,133.28,18,N/A,30,12,1,0.24,普通
西屯,臺中市,24.162197,120.616917,78,普通,134.08,14,53,29,14,0.6,0.19,普通
彰化,彰化縣,24.066,120.541519,87,普通,147.14,22,68,34,11,0.6,0.26,普通
線西,彰化縣,24.131672,120.469061,117,不健康,146.98,41,N/A,N/A,16,2.9,0.37,對敏感族群不健康
二林,彰化縣,23.925175,120.409653,105,不健康,167.75,31,97,38,4,0.5,0.21,對敏感族群不健康
南投,南投縣,23.913,120.685306,77,普通,151.68,26,72,32,14,0.6,0.24,普通
斗六,雲林縣,23.711853,120.544994,92,普通,178.21,21,66,41,8,1.8,0.26,普通
崙背,雲林縣,23.757547,120.348742,100,普通,185.95,31,88,40,3,1.4,0.19,普通
新港,嘉義縣,23.554839,120.345531,103,不健康,204.09,28,117,43,6,1.5,0.2,對敏感族群不健康
朴子,嘉義縣,23.46538,120.2478,89,普通,217.98,28,75,49,7,1.8,0.22,普通
臺西,雲林縣,23.702175,120.19933333,92,普通,200.49,23,75,34,14,2.8,0.22,普通
嘉義,嘉義市,23.46477865,120.44125148,105,不健康,207.07,32,74,47,5,1.8,0.26,對敏感族群不健康
新營,臺南市,23.305633,120.31725,102,不健康,228.77,23,79,51,6,1.4,0.24,對敏感族群不健康
善化,臺南市,23.11337642,120.29740529,102,不健康,248.18,30,65,60,5,1.4,0.24,對敏感族群不健康
安南,臺南市,23.048197,120.2175,115,不健康,258.55,37,101,64,4,1.7,0.3,對敏感族群不健康
臺南,臺南市,22.98928311,120.21947897,111,不健康,264.12,36,71,67,9,2.4,0.33,對敏感族群不健康
美濃,高雄市,22.883583,120.530542,94,普通,260.69,29,73,78,7,1.7,0.37,普通
橋頭,高雄市,22.757506,120.305689,106,不健康,282.87,17,47,47,7,1.6,0.23,對敏感族群不健康
仁武,高雄市,22.689056,120.332631,100,普通,288.6,20,49,55,7,0.7,0.23,普通
鳳山,高雄市,22.628126,120.357422,82,普通,293.76,15,31,33,12,1.7,0.41,普通
大寮,高雄市,22.56413611,120.425311,82,普通,297.66,10,27,33,4,0.4,0.15,普通
林園,高雄市,22.4795,120.41175,82,普通,306.93,10,28,31,2,0.2,0.11,普通
楠梓,高雄市,22.733667,120.328289,106,不健康,284.28,20,81,50,6,1.2,0.22,對敏感族群不健康
左營,高雄市,22.674861,120.292917,99,普通,291.74,25,72,63,6,1.3,0.27,普通
前金,高雄市,22.63390278,120.28676111,88,普通,296.14,18,67,49,7,0.7,0.24,普通
前鎮,高雄市,22.6044507,120.30833356,84,普通,298.2,14,69,46,8,0.5,0.21,普通
小港,高雄市,22.565833,120.337736,88,普通,300.92,15,53,23,19,1.6,0.16,普通
屏東,屏東縣,22.673081,120.488033,93,普通,284.03,21,63,52,9,N/A,0.3,普通
潮州,屏東縣,22.523108,120.561175,86,普通,297.1,N/A,32,42,2,0.6,0.14,普通
恆春,屏東縣,21.958069,120.788928,31,良好,351.49,7,18,35,0,0.4,0.11,良好
臺東,臺東縣,22.755358,121.15045,28,良好,257.62,7,18,34,2,0.9,0.15,良好
花蓮,花蓮縣,23.971306,121.599769,38,良好,119.99,11,26,34,1,0.3,0.17,良好
陽明,臺北市,25.182722,121.529583,47,良好,15.06,11,32,33,1,1.8,0.18,良好
宜蘭,宜蘭縣,24.747917,121.746394,38,良好,40.59,10,21,36,4,0.6,0.17,良好
冬山,宜蘭縣,24.632203,121.792928,40,良好,53.95,12,35,41,8,0.4,0.23,良好
三重,新北市,25.072611,121.493806,88,普通,3.62,20,47,11,36,0.7,0.65,普通
中壢,桃園市,24.953278,121.221667,104,不健康,31.56,24,65,24,36,1.2,0.9,對敏感族群不健康
竹山,南投縣,23.756389,120.677306,87,普通,166.88,25,67,38,12,3,0.36,普通
永和,新北市,25.017,121.516306,78,普通,3.43,18,46,13,30,1.4,0.77,普通
復興,高雄市,22.608711,120.312017,87,普通,297.62,9,36,41,7,0.5,0.21,普通
埔里,南投縣,23.968842,120.967903,70,普通,132.21,22,52,42,6,1.6,0.27,普通
馬祖,連江縣,26.153736,119.952724,110,不健康,199.32,35,58,29,14,1.1,0.41,對敏感族群不健康
金門,金門縣,24.432133,118.312256,91,普通,330.8,28,N/A,22,N/A,N/A,N/A,普通
馬公,澎湖縣,23.569031,119.566158,83,普通,257.13,19,55,44,2,0.7,0.18,普通
關山,臺東縣,23.045083,121.161933,27,良好,225.59,4,17,34,1,1,0.12,良好
麥寮,雲林縣,23.753506,120.251825,98,普通,192.68,29,80,N/A,7,1.1,0.19,普通
富貴角,新北市,25.29681695,121.53656894,109,不健康,27.76,32,94,41,5,0.7,0.15,對敏感族群不健康
大城,彰化縣,23.85493056,120.26964167,96,普通,183.12,28,73,37,7,1.1,0.15,普通
臺灣大道,臺中市,24.1589,120.6567111,78,普通,131.66,N/A,N/A,N/A,N/A,N/A,N/A,普通
員林,彰化縣,23.9615945,120.5631893,82,普通,154.6,25,57,37,8,1.3,0.2,普通
林森,臺南市,22.98522502,120.22216042,112,不健康,264.37,32,74,59,17,1.4,0.57,對敏感族群不健康
南投（鹿谷）,南投縣,23.71867609,120.7944772,76,普通,164.91,22,64,53,9,1.7,0.28,普通
屏東（琉球）,屏東縣,22.35222,120.37722,70,普通,321.41,9,28,31,1,0.6,0.14,普通
新北（樹林）,新北市,24.94902778,121.38352778,86,普通,17.37,20,40,29,21,0.8,0.34,普通
屏東（枋山）,屏東縣,22.260899,120.651472,56,普通,322.18,6,26,36,2,0.2,0.16,普通
嘉義（東區）,嘉義市,23.51301,120.44452,99,普通,202.34,26,-,50,10,1.1,0.19,普通
