shelter_name,county,address,shelter_lat,shelter_lon,is_indoor,nearest_station,nearest_aqi,distance_to_station,risk_level,risk_reason
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,9鄰大南坑1-5號,24.6725,121.0561,False,竹東,75,8.299754519775904,Warning,"Nearest AQI station (竹東) AQI: 75, Outdoor facility"
澤仁里辦公處,桃園市復興區,14鄰中正路168之1號,24.820601,121.351987,False,龍潭,77,14.502165343422506,Warning,"Nearest AQI station (龍潭) AQI: 77, Outdoor facility"
上大社區活動中心,桃園市觀音區,8鄰大湖路一段510號,24.978234,121.147333,False,平鎮,106,6.3735109923135695,High Risk,Nearest AQI station (平鎮) AQI: 106
武威社區活動中心,桃園市觀音區,4鄰武威一路10號,25.028242,121.073317,False,觀音,103,1.257889747389734,High Risk,Nearest AQI station (觀音) AQI: 103
塔腳社區活動中心,桃園市觀音區,4鄰塔腳路116號,25.049298,121.154708,False,大園,108,4.988447409014225,High Risk,Nearest AQI station (大園) AQI: 108
廣福社區活動中心,桃園市觀音區,福山路二段403巷6號,25.019018,121.153383,False,大園,108,6.8040760230899755,High Risk,Nearest AQI station (大園) AQI: 108
草漯國民小學,桃園市觀音區,新生路1462號,25.045941,121.142939,False,觀音,103,6.164373025781786,High Risk,Nearest AQI station (觀音) AQI: 103
上大國民小學,桃園市觀音區,8鄰大湖路一段540號,24.979129,121.146755,False,平鎮,106,6.470194259788887,High Risk,Nearest AQI station (平鎮) AQI: 106
崙坪國民小學,桃園市觀音區,崙坪里297之1號,24.999596,121.162676,False,平鎮,106,6.665614868676741,High Risk,Nearest AQI station (平鎮) AQI: 106
富林國民小學,桃園市觀音區,大觀路三段466號,25.062195,121.1285,False,觀音,103,5.470986383758977,High Risk,Nearest AQI station (觀音) AQI: 103
樹林國民小學,桃園市觀音區,觀音鄉樹林村新村路二段十二號,25.062176,121.128468,False,觀音,103,5.467132604688427,High Risk,Nearest AQI station (觀音) AQI: 103
觀音區公所綠資源中心,桃園市觀音區,觀新路56號,25.028281,121.083597,False,觀音,103,0.8138865000752611,High Risk,Nearest AQI station (觀音) AQI: 103
高雄市前鎮區光華國民小學,高雄市前鎮區,廣西路57號,22.615,120.32,False,復興,87,1.0772652239963179,Warning,"Nearest AQI station (復興) AQI: 87, Outdoor facility"
尖山國小操場,苗栗縣頭份市,尖豐路305號,24.64686,120.894048,False,頭份,108,5.5847055216422765,High Risk,Nearest AQI station (頭份) AQI: 108
高雄市小港區鳳林國民小學,高雄市小港區,鳳林路207號,22.527,120.343,False,小港,88,4.351740574974662,Warning,"Nearest AQI station (小港) AQI: 88, Outdoor facility"
佳義社區活動中心,屏東縣瑪家鄉,泰平巷11號,22.653475,120.630874,True,屏東,93,14.818025712417617,Medium Risk,"Nearest AQI station (屏東) AQI: 93, Indoor facility"
中東社區活動中心,彰化縣員林市,山腳路五段185巷20號,23.971414,120.599689,False,員林,82,3.8660549153359933,Warning,"Nearest AQI station (員林) AQI: 82, Outdoor facility"
崇實高工體育館,彰化縣員林市,育英路103號,23.961057,120.574848,False,員林,82,1.1861719750726596,Warning,"Nearest AQI station (員林) AQI: 82, Outdoor facility"
東芳國小,彰化縣彰化市,彰馬路45號,24.062538,120.516345,False,彰化,87,2.5847641305341824,Warning,"Nearest AQI station (彰化) AQI: 87, Outdoor facility"
三義社區活動中心,彰化縣員林市,員鹿路245巷112號,23.95268,120.563531,False,員林,82,0.9918551183382043,Warning,"Nearest AQI station (員林) AQI: 82, Outdoor facility"
